Year,phil,predic,avg_feb_pa,avg_mar_pa,
1895,No Record,0,17,31.3,"{year:""1895"",avg_feb:17,avg_mar:31.3},"
1896,No Record,0,26.6,27.8,"{year:""1896"",avg_feb:26.6,avg_mar:27.8},"
1897,No Record,0,27.9,36.9,"{year:""1897"",avg_feb:27.9,avg_mar:36.9},"
1898,Full Shadow,3,26.7,42,"{year:""1898"",avg_feb:26.7,avg_mar:42},"
1899,No Record,0,20,34,"{year:""1899"",avg_feb:20,avg_mar:34},"
1900,Full Shadow,3,24.1,29.3,"{year:""1900"",avg_feb:24.1,avg_mar:29.3},"
1901,Full Shadow,3,18.9,35.1,"{year:""1901"",avg_feb:18.9,avg_mar:35.1},"
1902,No Record,0,21,38.8,"{year:""1902"",avg_feb:21,avg_mar:38.8},"
1903,Full Shadow,3,28,44.5,"{year:""1903"",avg_feb:28,avg_mar:44.5},"
1904,Full Shadow,3,19.2,34,"{year:""1904"",avg_feb:19.2,avg_mar:34},"
1905,Full Shadow,3,18.1,36.9,"{year:""1905"",avg_feb:18.1,avg_mar:36.9},"
1906,Full Shadow,3,25.3,29.1,"{year:""1906"",avg_feb:25.3,avg_mar:29.1},"
1907,Full Shadow,3,20.1,39.5,"{year:""1907"",avg_feb:20.1,avg_mar:39.5},"
1908,Full Shadow,3,22.1,38.4,"{year:""1908"",avg_feb:22.1,avg_mar:38.4},"
1909,Full Shadow,3,32.9,33.1,"{year:""1909"",avg_feb:32.9,avg_mar:33.1},"
1910,Full Shadow,3,23.8,42.6,"{year:""1910"",avg_feb:23.8,avg_mar:42.6},"
1911,Full Shadow,3,28.5,32.8,"{year:""1911"",avg_feb:28.5,avg_mar:32.8},"
1912,Full Shadow,3,21.1,31.5,"{year:""1912"",avg_feb:21.1,avg_mar:31.5},"
1913,Full Shadow,3,25,40,"{year:""1913"",avg_feb:25,avg_mar:40},"
1914,Full Shadow,3,18.7,31.7,"{year:""1914"",avg_feb:18.7,avg_mar:31.7},"
1915,Full Shadow,3,30.6,30.3,"{year:""1915"",avg_feb:30.6,avg_mar:30.3},"
1916,Full Shadow,3,22.8,28.2,"{year:""1916"",avg_feb:22.8,avg_mar:28.2},"
1917,Full Shadow,3,23,35.4,"{year:""1917"",avg_feb:23,avg_mar:35.4},"
1918,Full Shadow,3,25.7,39.3,"{year:""1918"",avg_feb:25.7,avg_mar:39.3},"
1919,Full Shadow,3,29.6,38.6,"{year:""1919"",avg_feb:29.6,avg_mar:38.6},"
1920,Full Shadow,3,23,36.7,"{year:""1920"",avg_feb:23,avg_mar:36.7},"
1921,Full Shadow,3,30,45.4,"{year:""1921"",avg_feb:30,avg_mar:45.4},"
1922,Full Shadow,3,30.1,37.1,"{year:""1922"",avg_feb:30.1,avg_mar:37.1},"
1923,Full Shadow,3,22.1,34.3,"{year:""1923"",avg_feb:22.1,avg_mar:34.3},"
1924,Full Shadow,3,23.9,33.5,"{year:""1924"",avg_feb:23.9,avg_mar:33.5},"
1925,Full Shadow,3,32.8,38.1,"{year:""1925"",avg_feb:32.8,avg_mar:38.1},"
