countryName,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
angola,0,3,5,0,6,0,2,0,8,0,4,13,21,20,21,16,34
burundi,172,694,1186,68,193,186,110,530,762,2889,4545,466,214,276,16,62,109
CAR,172,401,270,25,318,136,182,45,59,56,15,23,0,24,1,0,1
chad,5,2,16,21,32,12,25,28,6,23,10,4,0,4,1,1,7
congo,1,16,52,30,161,102,27,154,293,197,206,66,43,73,41,5,10
DEC,5179,16370,7876,4540,2563,1863,977,3174,1135,727,848,405,424,569,251,107,264
eritrea,477,1949,1596,1488,1824,1346,2032,2570,1571,251,963,538,327,128,23,13,114
ethiopia,418,1131,626,728,765,620,560,668,321,299,1028,1271,1663,2689,1702,330,1457
gambia,5,0,3,1,11,2,7,10,10,6,13,6,0,3,9,0,5
liberia,3,16,12,31,94,69,121,244,385,992,1606,2346,4289,7140,2956,560,3442
mauritania,0,0,0,4,0,0,3,74,16,26,62,88,3,0,0,6,202
nigeria,0,7,4,4,2,2,1,2,3,76,20,15,11,34,57,28,85
rwanda,49,140,173,45,139,157,74,230,111,108,202,112,183,176,47,47,84
sierra_leone,2,3,6,6,4,1,28,54,51,99,166,439,829,1084,1378,176,1984
somalia,3488,9020,8858,9000,7608,4911,3161,4884,4189,2523,6969,10357,10405,13331,1994,237,4946
sudan,359,1458,1578,1315,2160,1077,334,558,683,375,705,1848,2205,3500,2139,897,5944
togo,0,19,1,26,18,26,5,9,14,204,40,18,72,35,47,16,279
uganda,22,65,67,5,15,18,10,30,8,42,38,20,10,8,1,2,12
burma,2011,12347,18386,14598,16299,14160,16972,16693,18202,18139,13896,1612,1447,1056,203,128,544
cambodia,0,18,0,44,30,6,5,9,15,8,15,9,9,3,7,4,23
china,13,57,30,53,86,45,28,72,54,43,27,21,13,3,9,9,15
north_korea,11,14,15,8,17,22,23,8,25,37,22,9,0,0,0,0,0
laos,0,7,0,0,0,21,211,36,14,59,117,830,8517,6005,13,18,23
vietnam,12,58,35,79,86,100,119,891,1538,1196,1564,3168,2084,1012,1472,3331,3546
armenia,26,55,49,10,3,8,15,1,4,9,29,87,86,88,63,30,26
azerbaijan,14,32,18,15,3,10,16,18,38,30,78,77,299,407,406,114,450
belarus,24,185,98,46,10,83,66,103,146,111,219,350,445,659,702,680,984
georgia,0,16,9,13,1,7,20,4,4,20,7,4,11,33,53,14,51
kazakhstan,13,91,58,24,11,7,53,46,52,62,45,124,80,312,118,223,290
kyrgyzstan,14,40,17,8,19,49,30,27,46,25,17,15,38,100,46,69,116
moldova,123,465,333,142,119,255,331,356,445,487,565,721,1016,1711,616,1022,1199
russia,142,462,281,139,125,197,165,326,495,426,1773,6003,5982,1446,1394,2105,4596
ukraine,1662,2543,1451,490,227,372,428,449,601,1022,1605,2483,2889,3482,5065,5217,7313
uzbekistan,9,41,43,69,51,140,96,185,152,134,190,527,271,426,166,394,693
colombia,77,529,521,252,230,126,46,123,57,94,54,115,323,577,149,8,0
cuba,90,354,1527,4062,4205,1948,2920,4818,4800,4177,2922,3143,6360,2980,306,1919,2946
haiti,0,0,0,4,0,0,0,18,0,0,0,0,8,17,0,7,24
honduras,56,84,0,0,0,0,5,20,0,0,0,0,0,0,0,0,0
afghanistan,586,2737,910,753,661,481,428,515,349,576,441,651,902,959,1453,1683,2930
bhutan,1445,5817,5775,8434,9134,15070,14999,12363,13452,5320,0,3,0,0,0,0,0
iran,1061,3750,3109,2846,2578,1758,2032,3543,5381,5270,5482,2792,1856,1786,2471,1535,6461
iraq,3624,9880,12676,19769,19488,12163,9388,18016,18838,13822,1608,202,198,66,298,466,2465
pakistan,119,545,159,240,158,274,54,59,67,104,30,20,9,11,18,0,3
SL,7,91,89,57,92,55,69,118,33,1,2,6,0,1,7,5,2
syria,3566,12587,1682,105,36,31,29,25,25,24,17,27,7,0,3,4,8
