year,africa,asia,europe,latin_am,,,,,,,africa,,asia,,europe,,latin america
1975,0,135000,8158,3000,"{year: ""1975"", africa: ""0"", asia: ""135000"", europe: ""8158"", latin_am: ""3000""},",,,,,,"{x: 1975, y: 0},",,"{x: 1975, y: 135000},",,"{x: 1975, y: 8158},",,"{x: 1975, y: 3000},"
1976,0,15000,9206,3000,"{year: ""1976"", africa: ""0"", asia: ""15000"", europe: ""9206"", latin_am: ""3000""},",,,,,,"{x: 1976, y: 0},",,"{x: 1976, y: 15000},",,"{x: 1976, y: 9206},",,"{x: 1976, y: 3000},"
1977,0,7000,9946,3000,"{year: ""1977"", africa: ""0"", asia: ""7000"", europe: ""9946"", latin_am: ""3000""},",,,,,,"{x: 1977, y: 0},",,"{x: 1977, y: 7000},",,"{x: 1977, y: 9946},",,"{x: 1977, y: 3000},"
1978,0,20574,12933,3000,"{year: ""1978"", africa: ""0"", asia: ""20574"", europe: ""12933"", latin_am: ""3000""},",,,,,,"{x: 1978, y: 0},",,"{x: 1978, y: 20574},",,"{x: 1978, y: 12933},",,"{x: 1978, y: 3000},"
1979,0,76521,27842,7000,"{year: ""1979"", africa: ""0"", asia: ""76521"", europe: ""27842"", latin_am: ""7000""},",,,,,,"{x: 1979, y: 0},",,"{x: 1979, y: 76521},",,"{x: 1979, y: 27842},",,"{x: 1979, y: 7000},"
1980,955,166030,33469,6662,"{year: ""1980"", africa: ""955"", asia: ""166030"", europe: ""33469"", latin_am: ""6662""},",,,,,,"{x: 1980, y: 955},",,"{x: 1980, y: 166030},",,"{x: 1980, y: 33469},",,"{x: 1980, y: 6662},"
1981,2119,134968,20148,2017,"{year: ""1981"", africa: ""2119"", asia: ""134968"", europe: ""20148"", latin_am: ""2017""},",,,,,,"{x: 1981, y: 2119},",,"{x: 1981, y: 134968},",,"{x: 1981, y: 20148},",,"{x: 1981, y: 2017},"
1982,3412,80235,13869,580,"{year: ""1982"", africa: ""3412"", asia: ""80235"", europe: ""13869"", latin_am: ""580""},",,,,,,"{x: 1982, y: 3412},",,"{x: 1982, y: 80235},",,"{x: 1982, y: 13869},",,"{x: 1982, y: 580},"
1983,2645,44673,13209,691,"{year: ""1983"", africa: ""2645"", asia: ""44673"", europe: ""13209"", latin_am: ""691""},",,,,,,"{x: 1983, y: 2645},",,"{x: 1983, y: 44673},",,"{x: 1983, y: 13209},",,"{x: 1983, y: 691},"
1984,2749,56677,10817,150,"{year: ""1984"", africa: ""2749"", asia: ""56677"", europe: ""10817"", latin_am: ""150""},",,,,,,"{x: 1984, y: 2749},",,"{x: 1984, y: 56677},",,"{x: 1984, y: 10817},",,"{x: 1984, y: 150},"
1985,1951,55746,9856,151,"{year: ""1985"", africa: ""1951"", asia: ""55746"", europe: ""9856"", latin_am: ""151""},",,,,,,"{x: 1985, y: 1951},",,"{x: 1985, y: 55746},",,"{x: 1985, y: 9856},",,"{x: 1985, y: 151},"
1986,1322,51391,9302,131,"{year: ""1986"", africa: ""1322"", asia: ""51391"", europe: ""9302"", latin_am: ""131""},",,,,,,"{x: 1986, y: 1322},",,"{x: 1986, y: 51391},",,"{x: 1986, y: 9302},",,"{x: 1986, y: 131},"
1987,1990,50120,12095,323,"{year: ""1987"", africa: ""1990"", asia: ""50120"", europe: ""12095"", latin_am: ""323""},",,,,,,"{x: 1987, y: 1990},",,"{x: 1987, y: 50120},",,"{x: 1987, y: 12095},",,"{x: 1987, y: 323},"
1988,1593,43739,27921,2497,"{year: ""1988"", africa: ""1593"", asia: ""43739"", europe: ""27921"", latin_am: ""2497""},",,,,,,"{x: 1988, y: 1593},",,"{x: 1988, y: 43739},",,"{x: 1988, y: 27921},",,"{x: 1988, y: 2497},"
1989,1902,52660,48354,2604,"{year: ""1989"", africa: ""1902"", asia: ""52660"", europe: ""48354"", latin_am: ""2604""},",,,,,,"{x: 1989, y: 1902},",,"{x: 1989, y: 52660},",,"{x: 1989, y: 48354},",,"{x: 1989, y: 2604},"
1990,3453,56577,56722,2305,"{year: ""1990"", africa: ""3453"", asia: ""56577"", europe: ""56722"", latin_am: ""2305""},",,,,,,"{x: 1990, y: 3453},",,"{x: 1990, y: 56577},",,"{x: 1990, y: 56722},",,"{x: 1990, y: 2305},"
1991,4420,58864,46063,2253,"{year: ""1991"", africa: ""4420"", asia: ""58864"", europe: ""46063"", latin_am: ""2253""},",,,,,,"{x: 1991, y: 4420},",,"{x: 1991, y: 58864},",,"{x: 1991, y: 46063},",,"{x: 1991, y: 2253},"
1992,5470,58802,64312,3065,"{year: ""1992"", africa: ""5470"", asia: ""58802"", europe: ""64312"", latin_am: ""3065""},",,,,,,"{x: 1992, y: 5470},",,"{x: 1992, y: 58802},",,"{x: 1992, y: 64312},",,"{x: 1992, y: 3065},"
1993,6967,56804,51355,4071,"{year: ""1993"", africa: ""6967"", asia: ""56804"", europe: ""51355"", latin_am: ""4071""},",,,,,,"{x: 1993, y: 6967},",,"{x: 1993, y: 56804},",,"{x: 1993, y: 51355},",,"{x: 1993, y: 4071},"
1994,5860,49404,51561,6156,"{year: ""1994"", africa: ""5860"", asia: ""49404"", europe: ""51561"", latin_am: ""6156""},",,,,,,"{x: 1994, y: 5860},",,"{x: 1994, y: 49404},",,"{x: 1994, y: 51561},",,"{x: 1994, y: 6156},"
1995,4827,41497,46021,7629,"{year: ""1995"", africa: ""4827"", asia: ""41497"", europe: ""46021"", latin_am: ""7629""},",,,,,,"{x: 1995, y: 4827},",,"{x: 1995, y: 41497},",,"{x: 1995, y: 46021},",,"{x: 1995, y: 7629},"
1996,7604,23288,41961,3550,"{year: ""1996"", africa: ""7604"", asia: ""23288"", europe: ""41961"", latin_am: ""3550""},",,,,,,"{x: 1996, y: 7604},",,"{x: 1996, y: 23288},",,"{x: 1996, y: 41961},",,"{x: 1996, y: 3550},"
1997,6065,12695,48732,2996,"{year: ""1997"", africa: ""6065"", asia: ""12695"", europe: ""48732"", latin_am: ""2996""},",,,,,,"{x: 1997, y: 6065},",,"{x: 1997, y: 12695},",,"{x: 1997, y: 48732},",,"{x: 1997, y: 2996},"
1998,6887,14167,54399,1627,"{year: ""1998"", africa: ""6887"", asia: ""14167"", europe: ""54399"", latin_am: ""1627""},",,,,,,"{x: 1998, y: 6887},",,"{x: 1998, y: 14167},",,"{x: 1998, y: 54399},",,"{x: 1998, y: 1627},"
1999,13043,14304,41907,2110,"{year: ""1999"", africa: ""13043"", asia: ""14304"", europe: ""41907"", latin_am: ""2110""},",,,,,,"{x: 1999, y: 13043},",,"{x: 1999, y: 14304},",,"{x: 1999, y: 41907},",,"{x: 1999, y: 2110},"
2000,17561,14690,37664,3232,"{year: ""2000"", africa: ""17561"", asia: ""14690"", europe: ""37664"", latin_am: ""3232""},",,,,,,"{x: 2000, y: 17561},",,"{x: 2000, y: 14690},",,"{x: 2000, y: 37664},",,"{x: 2000, y: 3232},"
2001,19020,16119,31772,2975,"{year: ""2001"", africa: ""19020"", asia: ""16119"", europe: ""31772"", latin_am: ""2975""},",,,,,,"{x: 2001, y: 19020},",,"{x: 2001, y: 16119},",,"{x: 2001, y: 31772},",,"{x: 2001, y: 2975},"
2002,2551,7218,15428,1934,"{year: ""2002"", africa: ""2551"", asia: ""7218"", europe: ""15428"", latin_am: ""1934""},",,,,,,"{x: 2002, y: 2551},",,"{x: 2002, y: 7218},",,"{x: 2002, y: 15428},",,"{x: 2002, y: 1934},"
2003,10714,5984,11250,455,"{year: ""2003"", africa: ""10714"", asia: ""5984"", europe: ""11250"", latin_am: ""455""},",,,,,,"{x: 2003, y: 10714},",,"{x: 2003, y: 5984},",,"{x: 2003, y: 11250},",,"{x: 2003, y: 455},"
2004,29104,10938,9254,3577,"{year: ""2004"", africa: ""29104"", asia: ""10938"", europe: ""9254"", latin_am: ""3577""},",,,,,,"{x: 2004, y: 29104},",,"{x: 2004, y: 10938},",,"{x: 2004, y: 9254},",,"{x: 2004, y: 3577},"
2005,20745,15053,11316,6699,"{year: ""2005"", africa: ""20745"", asia: ""15053"", europe: ""11316"", latin_am: ""6699""},",,,,,,"{x: 2005, y: 20745},",,"{x: 2005, y: 15053},",,"{x: 2005, y: 11316},",,"{x: 2005, y: 6699},"
2006,18126,9377,10456,3264,"{year: ""2006"", africa: ""18126"", asia: ""9377"", europe: ""10456"", latin_am: ""3264""},",,,,,,"{x: 2006, y: 18126},",,"{x: 2006, y: 9377},",,"{x: 2006, y: 10456},",,"{x: 2006, y: 3264},"
2007,17483,23263,4560,2976,"{year: ""2007"", africa: ""17483"", asia: ""23263"", europe: ""4560"", latin_am: ""2976""},",,,,,,"{x: 2007, y: 17483},",,"{x: 2007, y: 23263},",,"{x: 2007, y: 4560},",,"{x: 2007, y: 2976},"
2008,8935,44636,2343,4277,"{year: ""2008"", africa: ""8935"", asia: ""44636"", europe: ""2343"", latin_am: ""4277""},",,,,,,"{x: 2008, y: 8935},",,"{x: 2008, y: 44636},",,"{x: 2008, y: 2343},",,"{x: 2008, y: 4277},"
2009,9670,58130,1997,4857,"{year: ""2009"", africa: ""9670"", asia: ""58130"", europe: ""1997"", latin_am: ""4857""},",,,,,,"{x: 2009, y: 9670},",,"{x: 2009, y: 58130},",,"{x: 2009, y: 1997},",,"{x: 2009, y: 4857},"
2010,13305,53498,1526,4982,"{year: ""2010"", africa: ""13305"", asia: ""53498"", europe: ""1526"", latin_am: ""4982""},",,,,,,"{x: 2010, y: 13305},",,"{x: 2010, y: 53498},",,"{x: 2010, y: 1526},",,"{x: 2010, y: 4982},"
2011,7685,44535,1228,2976,"{year: ""2011"", africa: ""7685"", asia: ""44535"", europe: ""1228"", latin_am: ""2976""},",,,,,,"{x: 2011, y: 7685},",,"{x: 2011, y: 44535},",,"{x: 2011, y: 1228},",,"{x: 2011, y: 2976},"
2012,10608,44423,1129,2078,"{year: ""2012"", africa: ""10608"", asia: ""44423"", europe: ""1129"", latin_am: ""2078""},",,,,,,"{x: 2012, y: 10608},",,"{x: 2012, y: 44423},",,"{x: 2012, y: 1129},",,"{x: 2012, y: 2078},"
2013,15980,48927,580,4439,"{year: ""2013"", africa: ""15980"", asia: ""48927"", europe: ""580"", latin_am: ""4439""},",,,,,,"{x: 2013, y: 15980},",,"{x: 2013, y: 48927},",,"{x: 2013, y: 580},",,"{x: 2013, y: 4439},"
